x,
369,55.29402529
370,55.51587548
371,49.86379833
372,51.10314188
373,53.32623323
374,53.36772596
375,55.64506675
376,53.35837409
377,54.3307715
378,57.75710536
379,57.10807948
380,59.31414037
381,61.90129432
382,61.8577948
383,56.94255583
384,60.2315626
385,61.7831636
386,57.29663724
387,61.64132346
388,60.24670599
389,57.28712778
390,60.69907606
391,62.05019902
392,55.3576797
393,57.88404033
394,56.8349562
395,60.56165037
396,59.29381978
397,60.25928524
398,56.62795202
399,59.76400456
400,59.95269142
401,58.71304705
402,59.44943951
403,58.28917298
404,50.90005201
405,53.45614616
406,56.45669825
407,59.18666328
408,60.38053582
409,58.73183189
410,57.22467013
411,53.41066975
412,57.97796183
413,57.38552946
414,54.69735286
415,53.37321579
416,49.03742091
417,53.58406928
418,49.74833602
419,47.65016682
420,55.95677674
421,53.3622827
422,58.03391564
423,50.46187794
424,45.46650935
425,50.63494142
426,51.73206754
427,54.95988655
428,52.47270134
429,48.15971617
430,54.30060564
431,55.71370325
432,50.72728
433,49.59819766
434,52.68313416
435,49.6226309
436,57.69466339
437,55.51771765
438,55.63461297
439,55.65053392
440,55.66099275
441,48.30882127
442,53.55576334
443,51.34244591
444,48.94679009
445,51.90967609
446,57.84844032
447,52.93951065
448,53.19269889
449,54.58657538
450,56.42784359
451,51.82097011
452,52.22794892
453,51.57362119
454,55.52125073
455,58.79621285
456,53.08540508
457,56.19653012
458,52.18576402
459,54.06841504
460,54.65104904
461,52.01341235
462,55.19639847
463,50.01762799
464,55.76615092
465,55.33746596
466,54.60968048
467,56.32313675
468,54.64293436
469,57.20975885
470,57.31196397
471,57.41935798
472,51.02255468
473,54.39936971
474,55.37248443
475,54.65372891
476,55.13445918
477,56.14895322
478,54.8260485
479,55.16263518
480,53.75961241
481,50.78459256
482,42.43256228
483,53.01563684
484,51.12320493
485,49.39206347
486,52.63444973
487,48.07929907
488,45.2221268
489,50.07409036
490,48.5937125
491,51.48747763
492,51.18320964
493,54.12529002
494,50.63474234
495,51.68748337
496,53.56359193
497,58.91393992
498,53.81290067
499,55.77815221
500,58.4930928
501,59.86675214
502,58.58401445
503,59.10994442
504,58.84645269
505,52.03206906
506,57.36489364
507,61.56899974
508,57.09648276
509,65.05186084
510,63.83186084
511,64.71696203
512,53.65447093
513,56.39769943
514,64.31655727
515,61.45115353
516,59.5880464
517,56.40186325
518,61.85879735
519,61.57534621
520,61.07208033
521,53.96187795
522,55.83167557
523,61.69655727
524,59.69064978
525,46.17271648
526,50.66961376
527,51.12076084
528,47.05677526
529,46.83849025
530,51.32054971
531,57.1293156
532,52.15446993
533,55.67047803
534,56.2604442
535,54.97300034
536,54.93599785
537,48.62979313
538,53.02962821
539,57.09508561
540,48.24091737
541,49.80899136
542,56.00299731
543,56.73552088
544,52.66854603
545,55.13462678
546,56.67327386
547,60.47965035
548,50.13464282
549,45.72137233
550,47.18102177
551,51.5526358
552,48.6247762
553,49.33407294
554,49.64293389
555,48.2876465
556,51.37834976
557,50.06289442
558,47.02428394
559,51.48952042
560,51.1712895
561,52.28412734
562,51.62381208
563,54.59721052
564,55.06905452
565,52.72053779
566,51.78205706
567,48.23949451
568,47.71463761
569,52.09876354
570,56.26933136
571,52.90414626
572,55.9470024
573,48.44564428
574,48.85300525
575,51.37881023
576,50.84870607
577,48.91816823
578,47.74601685
579,51.17205649
580,53.96716419
581,57.75232561
582,53.27827603
583,48.02011062
584,50.94834584
585,55.00832489
586,52.85741771
587,52.21478764
588,50.40686513
589,48.24155116
590,49.16898375
591,49.0857347
592,50.51333438
593,49.16509485
594,50.22798267
595,46.40848768
596,48.53430414
597,46.01665236
598,51.2749217
599,53.07010027
600,48.08328982
601,46.11809251
602,50.03280995
603,45.78943595
604,49.92270182
605,47.37546244
606,44.44802197
607,53.86903986
608,48.55617008
609,45.79699273
610,53.25961606
611,52.31879267
612,55.21486501
613,51.87813088
614,57.52886118
615,55.83228548
616,56.0952981
617,56.72341274
618,54.97889514
619,54.58052016
620,53.44531679
621,51.4614187
622,55.38361859
623,52.32457266
624,51.43511389
625,53.68316169
626,50.90789829
627,53.73928622
628,55.37500109
629,55.74107114
630,54.34441923
631,58.07395653
632,47.35721598
633,50.05229469
634,54.20654568
635,50.23358107
636,52.63511051
637,51.34968211
638,54.14610573
639,51.49066261
640,58.62323332
641,61.27029805
642,55.20295677
643,57.94210981
644,58.64350986
645,58.6984863
646,62.13075688
647,57.54630997
648,50.72762838
649,53.54326002
650,57.76286218
651,56.41469519
652,50.63833441
653,48.30805995
654,52.45805995
655,55.18084435
656,57.9637093
657,54.72353449
658,58.27582208
659,56.36369135
660,58.7724182
661,57.26312147
662,58.42412014
663,57.43077467
664,57.33914174
665,59.77480246
666,58.38047045
667,61.46662333
668,56.72592396
669,59.76587889
670,60.16562591
671,55.62863187
672,59.93494634
673,47.81370257
